_id,sensor_id,timestamp,temperature,humidity,pm1p0,pm2p5,pm4p0,pm10p0,voc,nox,__v,longitude,latitude
6762528d42b33532faf8187c,350976650270090,2024-12-18T03:39:41.000Z,28.38,37.37,1.0,1.01,1.01,1.01,30,1,0,27.763986,-26.218879
67624f9e42b33532faf7fcf8,350976650270090,2024-12-18T03:28:27.000Z,27.54,38.9,1.01,1.02,1.02,1.02,30,1,0,27.763986,-26.218879
67624e7642b33532faf7f281,350976650270090,2024-12-18T03:22:34.000Z,28.42,37.34,1.02,1.03,1.03,1.04,26,1,0,27.763986,-26.218879
67624b8342b33532faf7d83b,350976650270090,2024-12-18T03:11:15.000Z,27.78,38.36,1.02,1.03,1.04,1.04,30,1,0,27.763986,-26.218879
6762489842b33532faf7bf7c,350976650270090,2024-12-18T02:58:35.000Z,27.8,38.27,1.0,1.01,1.01,1.01,31,1,0,27.763986,-26.218879
67623cdc42b33532faf765f1,350976650270090,2024-12-18T02:09:10.000Z,27.86,38.81,1.01,1.03,1.04,1.04,29,1,0,27.763986,-26.218879
67622f6642b33532faf7128f,350976650270090,2024-12-18T01:10:34.000Z,27.85,39.71,1.04,1.05,1.05,1.05,30,1,0,27.763986,-26.218879
67622be042b33532faf7001e,350976650270090,2024-12-18T00:55:49.000Z,29.16,38.15,1.04,1.05,1.05,1.05,24,1,0,27.763986,-26.218879
6762134442b33532faf6a0b1,350976650270090,2024-12-17T23:10:27.000Z,28.13,39.18,3.04,3.06,3.06,3.06,31,1,0,27.763986,-26.218879
676212b042b33532faf696de,350976650270090,2024-12-17T23:08:16.000Z,28.01,39.44,3.03,3.04,3.04,3.04,31,1,0,27.763986,-26.218879
6762118542b33532faf6787a,350976650270090,2024-12-17T23:01:45.000Z,28.09,39.07,3.0,3.01,3.01,3.01,30,1,0,27.763986,-26.218879
676210ec42b33532faf662b6,350976650270090,2024-12-17T22:59:39.000Z,27.98,39.26,2.07,2.09,3.0,3.0,31,1,0,27.763986,-26.218879
67620b1042b33532faf57779,350976650270090,2024-12-17T22:35:07.000Z,28.23,38.69,2.09,3.01,3.01,3.01,31,1,0,27.763986,-26.218879
67620a7d42b33532faf56191,350976650270090,2024-12-17T22:32:39.000Z,28.13,38.63,3.03,3.04,3.04,3.04,31,1,0,27.763986,-26.218879
676209e642b33532faf54a0e,350976650270090,2024-12-17T22:30:14.000Z,28.12,38.67,2.08,2.09,2.09,2.09,31,1,0,27.763986,-26.218879
6762078a42b33532faf4ed71,350976650270090,2024-12-17T22:21:41.000Z,29.03,37.42,2.05,2.06,2.06,2.06,27,1,0,27.763986,-26.218879
6762066442b33532faf4c09a,350976650270090,2024-12-17T22:14:54.000Z,28.38,38.21,2.04,2.05,2.05,2.05,30,1,0,27.763986,-26.218879
676201b142b33532faf40911,350976650270090,2024-12-17T21:54:48.000Z,29.31,37.2,3.0,3.02,3.03,3.03,26,1,0,27.763986,-26.218879
6761fbd242b33532faf328c4,350976650270090,2024-12-17T21:31:39.000Z,28.29,38.29,2.01,2.03,2.04,2.05,31,1,0,27.763986,-26.218879
6761f5fb42b33532faf24cba,350976650270090,2024-12-17T21:04:58.000Z,28.24,38.6,3.0,3.02,3.02,3.02,30,1,0,27.763986,-26.218879
6761f56642b33532faf236da,350976650270090,2024-12-17T21:02:26.000Z,28.26,38.49,3.06,3.08,3.08,3.08,31,1,0,27.763986,-26.218879
6761f43742b33532faf20b44,350976650270090,2024-12-17T20:57:02.000Z,28.12,38.76,3.01,3.03,3.03,3.03,30,1,0,27.763986,-26.218879
6761f14642b33532faf19f59,350976650270090,2024-12-17T20:45:45.000Z,29.23,37.34,4.01,4.03,4.03,4.03,26,1,0,27.763986,-26.218879
6761ec0442b33532faf0dfde,350976650270090,2024-12-17T20:23:03.000Z,28.11,38.63,4.06,4.08,4.08,4.08,30,1,0,27.763986,-26.218879
6761e6bf42b33532faf02425,350976650270090,2024-12-17T19:59:42.000Z,28.42,37.84,5.01,5.05,5.06,5.07,32,1,0,27.763986,-26.218879
6761e17942b33532faef6ac4,350976650270090,2024-12-17T19:37:40.000Z,28.35,38.21,6.08,7.01,7.01,7.01,30,1,0,27.763986,-26.218879
6761e0e342b33532faef5643,350976650270090,2024-12-17T19:35:25.000Z,28.08,38.48,6.01,6.04,6.04,6.04,31,1,0,27.763986,-26.218879
6761d81b42b33532faee2a66,350976650270090,2024-12-17T18:57:33.000Z,28.6,37.76,8.04,9.0,9.01,9.02,31,1,0,27.763986,-26.218879
6761d65442b33532faedee4c,350976650270090,2024-12-17T18:50:57.000Z,29.27,37.02,9.0,9.04,9.04,9.04,27,1,0,27.763986,-26.218879
6761c55a42b33532faebc744,350976650270090,2024-12-17T17:37:26.000Z,28.4,38.1,10.0,10.07,10.08,10.08,32,1,0,27.763986,-26.218879
6761c42842b33532faeba173,350976650270090,2024-12-17T17:33:51.000Z,28.24,38.34,10.09,11.04,11.04,11.04,30,1,0,27.763986,-26.218879
6761b74b42b33532faea176b,350976650270090,2024-12-17T16:37:26.000Z,29.11,37.11,10.02,10.09,11.0,11.01,32,1,0,27.763986,-26.218879
6761b4ed42b33532fae9d142,350976650270090,2024-12-17T16:28:38.000Z,29.2,36.99,8.05,9.0,9.0,9.0,31,1,0,27.763986,-26.218879
6761b45a42b33532fae9c033,350976650270090,2024-12-17T16:26:01.000Z,29.14,37.05,10.02,10.08,10.09,10.09,31,1,0,27.763986,-26.218879
6761ade642b33532fae90451,350976650270090,2024-12-17T15:58:58.000Z,28.91,37.6,4.01,4.03,4.03,4.03,31,1,0,27.763986,-26.218879
6761ad4f42b33532fae8f31a,350976650270090,2024-12-17T15:56:09.000Z,28.7,38.11,3.08,4.0,4.0,4.0,30,1,0,27.763986,-26.218879
6761acba42b33532fae8e224,350976650270090,2024-12-17T15:53:30.000Z,28.96,37.51,3.08,4.0,4.0,4.0,30,1,0,27.763986,-26.218879
6761a9cc42b33532fae88e82,350976650270090,2024-12-17T15:40:25.000Z,28.56,38.54,2.06,2.09,3.01,3.01,30,1,0,27.763986,-26.218879
6761a80a42b33532fae85ce1,350976650270090,2024-12-17T15:33:31.000Z,28.53,38.47,1.07,1.08,1.08,1.09,31,1,0,27.763986,-26.218879
67612b3b42b33532fade0ac8,350976650270090,2024-12-17T06:41:04.000Z,28.36,41.24,6.04,6.07,6.07,6.07,32,1,0,27.763986,-26.218879
6761256342b33532faddb9ed,350976650270090,2024-12-17T06:14:59.000Z,28.25,40.5,5.0,5.02,5.02,5.02,32,1,0,27.763986,-26.218879
67611c0142b33532fadd3fda,350976650270090,2024-12-17T05:35:23.000Z,28.17,39.35,4.07,4.09,4.09,4.09,30,1,0,27.763986,-26.218879
67611b6b42b33532fadd3899,350976650270090,2024-12-17T05:32:34.000Z,28.19,39.23,4.0,4.02,4.02,4.02,31,1,0,27.763986,-26.218879
6761174e42b33532fadd0644,350976650270090,2024-12-17T05:16:36.000Z,28.26,39.11,4.0,4.02,4.02,4.02,31,1,0,27.763986,-26.218879
676116b942b33532fadcff6d,350976650270090,2024-12-17T05:14:01.000Z,28.2,38.95,4.01,4.03,4.03,4.03,31,1,0,27.763986,-26.218879
